county_desc,mean,count
ALAMANCE,62821.5,125644
ALEXANDER,139682.5,28078
ALLEGHANY,158063.0,8683
ANSON,171744.0,18679
ASHE,192014.0,21861
AVERY,209814.0,13739
BEAUFORT,236069.5,38772
BERTIE,263063.0,15215
BLADEN,283821.0,26301
BRUNSWICK,361280.5,128618
BUNCOMBE,544109.0,237039
BURKE,694980.5,64704
CABARRUS,809659.0,164653
CALDWELL,922320.0,60669
CAMDEN,957194.5,9080
CARTERET,992653.0,61837
CASWELL,1032280.0,17417
CATAWBA,1102119.0,122261
CHATHAM,1195484.0,64469
CHEROKEE,1240420.5,25404
CHOWAN,1259031.0,11817
CLAY,1270279.5,10680
CLEVELAND,1313810.0,76381
COLUMBUS,1372707.0,41413
CRAVEN,1435875.5,84924
CUMBERLAND,1609140.5,261606
CURRITUCK,1752007.0,24127
DARE,1781550.0,34959
DAVIDSON,1861991.5,125924
DAVIE,1942508.0,35109
DUPLIN,1977286.0,34447
DURHAM,2135557.5,282096
EDGECOMBE,2296918.5,40626
FORSYTH,2472322.0,310181
FRANKLIN,2653788.0,52751
GASTON,2764140.0,167953
GATES,2852674.0,9115
GRAHAM,2860705.5,6948
GRANVILLE,2886505.5,44652
GREENE,2915270.5,12878
GUILFORD,3139082.0,434745
HALIFAX,3377328.0,41747
HARNETT,3444635.5,92868
HAYWOOD,3517445.5,52752
HENDERSON,3593647.5,99652
HERTFORD,3651994.5,17042
HOKE,3679046.5,37062
HYDE,3699377.5,3600
IREDELL,3773328.5,144302
JACKSON,3862705.5,34452
JOHNSTON,3958513.5,157164
JONES,4041321.5,8452
LEE,4067283.0,43471
LENOIR,4111059.0,44081
LINCOLN,4167689.5,69180
MACON,4217867.0,31175
MADISON,4243114.0,19319
MARTIN,4262268.5,18990
MCDOWELL,4288541.0,33555
MECKLENBURG,4744357.5,878078
MITCHELL,5189777.5,12762
MONTGOMERY,5205812.0,19307
MOORE,5258062.5,85194
NASH,5339745.5,78172
NEW HANOVER,5480226.0,202789
NORTHAMPTON,5589576.5,15912
ONSLOW,5663339.5,131614
ORANGE,5795487.0,132681
PAMLICO,5867423.0,11191
PASQUOTANK,5889503.0,32969
PENDER,5930989.5,50004
PERQUIMANS,5961554.5,11126
PERSON,5982529.0,30823
PITT,6068748.0,141615
POLK,6148989.5,18868
RANDOLPH,6211100.0,105353
RICHMOND,6280475.0,33397
ROBESON,6341841.5,89336
ROCKINGHAM,6421247.5,69476
ROWAN,6510486.0,109001
RUTHERFORD,6590855.5,51738
SAMPSON,6637915.5,42382
SCOTLAND,6671735.5,25258
STANLY,6708504.5,48280
STOKES,6750318.0,35347
SURRY,6794139.5,52296
SWAIN,6826044.5,11514
TRANSYLVANIA,6846981.0,30359
TYRRELL,6863520.5,2720
UNION,6957098.0,184435
VANCE,7066141.5,33652
WAKE,7526903.0,887871
WARREN,7978677.0,15677
WASHINGTON,7991410.5,9790
WATAUGA,8022889.5,53168
WAYNE,8092948.5,86950
WILKES,8160908.0,48969
WILSON,8217137.0,63489
YADKIN,8262669.0,27575
YANCEY,8284577.5,16242
