County,Choice,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes
ALAMANCE,Don Blankenship,39,81,31,0,151
ALAMANCE,Donald J. Trump,11057,29543,5289,167,46056
ALAMANCE,Howie Hawkins,55,117,50,1,223
ALAMANCE,Jo Jorgensen,199,371,113,3,686
ALAMANCE,Joseph R. Biden,5264,23256,10159,146,38825
ALAMANCE,Write-In (Miscellaneous),49,70,30,1,150
ALEXANDER,Don Blankenship,4,17,3,0,24
ALEXANDER,Donald J. Trump,2741,12251,850,46,15888
ALEXANDER,Howie Hawkins,2,13,3,0,18
ALEXANDER,Jo Jorgensen,51,61,15,0,127
ALEXANDER,Joseph R. Biden,493,2741,903,8,4145
ALEXANDER,Write-In (Miscellaneous),11,19,4,0,34
ALLEGHANY,Don Blankenship,0,5,0,0,5
ALLEGHANY,Donald J. Trump,849,3299,358,21,4527
ALLEGHANY,Howie Hawkins,4,6,5,0,15
ALLEGHANY,Jo Jorgensen,6,18,10,1,35
ALLEGHANY,Joseph R. Biden,167,941,375,3,1486
ALLEGHANY,Write-In (Miscellaneous),2,4,2,0,8
ANSON,Don Blankenship,7,11,1,0,19
ANSON,Donald J. Trump,2098,2990,218,15,5321
ANSON,Howie Hawkins,5,7,2,0,14
ANSON,Jo Jorgensen,16,22,3,0,41
ANSON,Joseph R. Biden,1118,4067,593,11,5789
ANSON,Write-In (Miscellaneous),4,5,1,0,10
ASHE,Don Blankenship,7,15,5,0,27
ASHE,Donald J. Trump,3680,6781,923,67,11451
ASHE,Howie Hawkins,9,8,6,0,23
ASHE,Jo Jorgensen,54,56,16,0,126
ASHE,Joseph R. Biden,698,2336,1126,4,4164
ASHE,Write-In (Miscellaneous),7,7,9,0,23
AVERY,Don Blankenship,6,4,0,0,10
AVERY,Donald J. Trump,2863,3784,459,66,7172
AVERY,Howie Hawkins,4,5,4,0,13
AVERY,Jo Jorgensen,22,26,7,1,56
AVERY,Joseph R. Biden,481,1215,489,6,2191
AVERY,Write-In (Miscellaneous),13,3,0,0,16
BEAUFORT,Don Blankenship,11,20,6,0,37
BEAUFORT,Donald J. Trump,4331,11014,1047,45,16437
BEAUFORT,Howie Hawkins,12,14,4,0,30
BEAUFORT,Jo Jorgensen,44,62,31,0,137
BEAUFORT,Joseph R. Biden,1365,6341,1910,17,9633
BEAUFORT,Write-In (Miscellaneous),12,22,7,0,41
BERTIE,Don Blankenship,3,4,1,0,8
BERTIE,Donald J. Trump,1047,2608,153,9,3817
BERTIE,Howie Hawkins,2,8,5,0,15
BERTIE,Jo Jorgensen,4,20,5,0,29
BERTIE,Joseph R. Biden,856,4443,612,28,5939
BERTIE,Write-In (Miscellaneous),3,2,1,1,7
BLADEN,Don Blankenship,7,9,4,0,20
BLADEN,Donald J. Trump,2126,6971,551,28,9676
BLADEN,Howie Hawkins,4,12,2,0,18
BLADEN,Jo Jorgensen,21,39,8,0,68
BLADEN,Joseph R. Biden,1078,5438,792,18,7326
BLADEN,Write-In (Miscellaneous),5,12,0,0,17
BRUNSWICK,Don Blankenship,16,45,30,0,91
BRUNSWICK,Donald J. Trump,7904,41248,6424,274,55850
BRUNSWICK,Howie Hawkins,22,63,31,3,119
BRUNSWICK,Jade Simmons (Write-In),0,2,0,0,2
BRUNSWICK,Jo Jorgensen,184,320,132,6,642
BRUNSWICK,Joseph R. Biden,2194,19242,11759,115,33310
BRUNSWICK,Write-In (Miscellaneous),22,84,53,2,161
BUNCOMBE,Don Blankenship,47,116,61,1,225
BUNCOMBE,Donald J. Trump,11763,44341,6159,149,62412
BUNCOMBE,Howie Hawkins,142,277,121,2,542
BUNCOMBE,Jade Simmons (Write-In),0,2,0,0,2
BUNCOMBE,Jo Jorgensen,387,795,275,3,1460
BUNCOMBE,Joseph R. Biden,7081,60067,29257,110,96515
BUNCOMBE,Write-In (Miscellaneous),88,211,112,2,413
BURKE,Don Blankenship,7,24,12,0,43
BURKE,Donald J. Trump,5880,22973,2112,54,31019
BURKE,Howie Hawkins,25,37,20,1,83
BURKE,Jo Jorgensen,82,153,35,0,270
BURKE,Joseph R. Biden,1666,8409,3032,11,13118
BURKE,Write-In (Miscellaneous),16,34,19,0,69
CABARRUS,Don Blankenship,35,77,30,2,144
CABARRUS,Donald J. Trump,12829,42997,7184,227,63237
CABARRUS,Howie Hawkins,68,99,84,2,253
CABARRUS,Jade Simmons (Write-In),3,2,0,0,5
CABARRUS,Jo Jorgensen,304,572,212,8,1096
CABARRUS,Joseph R. Biden,6115,31706,14166,175,52162
CABARRUS,Write-In (Miscellaneous),88,148,94,0,330
CALDWELL,Don Blankenship,7,34,11,0,52
CALDWELL,Donald J. Trump,5437,24259,2311,112,32119
CALDWELL,Howie Hawkins,9,34,17,0,60
CALDWELL,Jo Jorgensen,64,171,37,1,273
CALDWELL,Joseph R. Biden,1259,6455,2497,34,10245
CALDWELL,Write-In (Miscellaneous),21,46,12,1,80
CAMDEN,Don Blankenship,2,3,0,0,5
CAMDEN,Donald J. Trump,1173,2870,254,15,4312
CAMDEN,Howie Hawkins,1,7,0,0,8
CAMDEN,Jo Jorgensen,25,42,9,0,76
CAMDEN,Joseph R. Biden,205,1057,272,3,1537
CAMDEN,Write-In (Miscellaneous),6,5,3,1,15
CARTERET,Don Blankenship,11,36,10,0,57
CARTERET,Donald J. Trump,6392,21541,2053,42,30028
CARTERET,Howie Hawkins,25,26,13,0,64
CARTERET,Jo Jorgensen,116,200,56,1,373
CARTERET,Joseph R. Biden,1299,7759,3020,15,12093
CARTERET,Write-In (Miscellaneous),26,42,12,0,80
CASWELL,Don Blankenship,3,4,1,0,8
CASWELL,Donald J. Trump,2655,3857,542,35,7089
CASWELL,Howie Hawkins,9,8,2,0,19
CASWELL,Jo Jorgensen,24,28,12,0,64
CASWELL,Joseph R. Biden,917,3136,794,13,4860
CASWELL,Write-In (Miscellaneous),6,2,3,0,11
CATAWBA,Don Blankenship,29,74,26,1,130
CATAWBA,Donald J. Trump,10907,41330,4236,115,56588
CATAWBA,Howie Hawkins,48,110,36,0,194
CATAWBA,Jo Jorgensen,199,369,82,2,652
CATAWBA,Joseph R. Biden,3551,16118,5977,43,25689
CATAWBA,Write-In (Miscellaneous),40,96,36,0,172
CHATHAM,Don Blankenship,8,29,23,0,60
CHATHAM,Donald J. Trump,3457,15292,2392,45,21186
CHATHAM,Howie Hawkins,13,46,31,0,90
CHATHAM,Jo Jorgensen,69,214,83,0,366
CHATHAM,Joseph R. Biden,1304,15716,9750,17,26787
CHATHAM,Write-In (Miscellaneous),24,48,38,0,110
CHEROKEE,Don Blankenship,23,15,1,0,39
CHEROKEE,Donald J. Trump,4183,7401,1010,34,12628
CHEROKEE,Howie Hawkins,20,26,3,0,49
CHEROKEE,Jo Jorgensen,48,34,12,1,95
CHEROKEE,Joseph R. Biden,636,1905,1041,1,3583
CHEROKEE,Write-In (Miscellaneous),9,14,6,0,29
CHOWAN,Don Blankenship,1,3,1,0,5
CHOWAN,Donald J. Trump,727,3466,269,9,4471
CHOWAN,Howie Hawkins,0,6,1,0,7
CHOWAN,Jade Simmons (Write-In),0,1,0,0,1
CHOWAN,Jo Jorgensen,14,27,6,0,47
CHOWAN,Joseph R. Biden,371,2311,556,9,3247
CHOWAN,Write-In (Miscellaneous),1,5,0,0,6
CLAY,Don Blankenship,5,4,2,0,11
CLAY,Donald J. Trump,1374,3384,334,20,5112
CLAY,Howie Hawkins,5,6,3,0,14
CLAY,Jo Jorgensen,19,21,6,0,46
CLAY,Joseph R. Biden,204,1056,437,2,1699
CLAY,Write-In (Miscellaneous),1,5,5,0,11
CLEVELAND,Don Blankenship,21,43,9,1,74
CLEVELAND,Donald J. Trump,7057,24128,2503,110,33798
CLEVELAND,Howie Hawkins,22,44,15,0,81
CLEVELAND,Jo Jorgensen,96,187,45,1,329
CLEVELAND,Joseph R. Biden,2298,11526,3082,49,16955
CLEVELAND,Write-In (Miscellaneous),18,41,12,0,71
COLUMBUS,Don Blankenship,9,20,4,0,33
COLUMBUS,Donald J. Trump,5406,10436,869,121,16832
COLUMBUS,Howie Hawkins,8,12,3,0,23
COLUMBUS,Jo Jorgensen,37,41,10,0,88
COLUMBUS,Joseph R. Biden,1666,6518,1213,49,9446
COLUMBUS,Write-In (Miscellaneous),11,12,1,0,24
CRAVEN,Don Blankenship,19,38,16,0,73
CRAVEN,Donald J. Trump,5465,22362,3120,85,31032
CRAVEN,Howie Hawkins,15,51,25,1,92
CRAVEN,Jo Jorgensen,190,320,111,5,626
CRAVEN,Joseph R. Biden,2356,12812,5930,50,21148
CRAVEN,Write-In (Miscellaneous),20,48,25,1,94
CUMBERLAND,Don Blankenship,55,137,50,2,244
CUMBERLAND,Donald J. Trump,12930,40875,6032,195,60032
CUMBERLAND,Howie Hawkins,106,222,90,5,423
CUMBERLAND,Jade Simmons (Write-In),0,5,3,0,8
CUMBERLAND,Jo Jorgensen,461,811,356,17,1645
CUMBERLAND,Joseph R. Biden,10365,56911,16902,291,84469
CUMBERLAND,Write-In (Miscellaneous),83,170,75,1,329
CURRITUCK,Don Blankenship,13,9,2,0,24
CURRITUCK,Donald J. Trump,4666,6290,669,32,11657
CURRITUCK,Howie Hawkins,14,12,3,0,29
CURRITUCK,Jo Jorgensen,103,84,22,0,209
CURRITUCK,Joseph R. Biden,1002,2391,795,7,4195
CURRITUCK,Write-In (Miscellaneous),11,17,5,0,33
DARE,Don Blankenship,14,10,7,0,31
DARE,Donald J. Trump,3656,9076,1193,13,13938
DARE,Howie Hawkins,20,16,10,1,47
DARE,Jo Jorgensen,100,91,32,0,223
DARE,Joseph R. Biden,1191,6105,2635,5,9936
DARE,Write-In (Miscellaneous),20,21,16,0,57
DAVIDSON,Don Blankenship,57,103,28,1,189
DAVIDSON,Donald J. Trump,15613,42969,5951,125,64658
DAVIDSON,Howie Hawkins,62,101,24,0,187
DAVIDSON,Jo Jorgensen,252,345,106,0,703
DAVIDSON,Joseph R. Biden,4494,11915,6173,54,22636
DAVIDSON,Write-In (Miscellaneous),44,62,34,1,141
DAVIE,Don Blankenship,12,16,4,0,32
DAVIE,Donald J. Trump,3992,12802,1385,49,18228
DAVIE,Howie Hawkins,15,30,8,0,53
DAVIE,Jo Jorgensen,48,130,35,0,213
